index,category,output_path,original_name,original_size,output_size,has_alpha,alpha_min,alpha_max,source_sha256
44,Buttons,Buttons/044_menu_button_blue_blank.png,input_044.png,1774x887,1561x476,True,0,255,4cf3e23a237882598cfb8978b0b4ec744717cd44da10b5e19252e074cc87569c
45,Buttons,Buttons/045_menu_button_mint_blank.png,input_045.png,1774x887,1442x566,True,0,255,501fb0c839bb433da52a368d917194fcfc0bdeefe46289a8ab18eaaed53c753d
46,Panels,Panels/046_long_blank_pill_panel.png,input_046.png,1774x887,1675x485,True,0,255,ea72a6c20e77cbf96f3edb8db26c17db77896d34f62497c11a90144e9d547f59
47,Panels,Panels/047_long_blank_rounded_label.png,input_047.png,1774x887,1572x485,True,0,255,4bc61545576e86d8e21153aa6270836b9deef52ca08480e642c70c5d3ac62055
49,Result_Ranking,Result_Ranking/049_result_card_vertical_blank.png,input_049.png,1086x1448,844x1158,True,0,255,ffb582fa4aca087e9ed027cd6a2552d622e9546a8e3e08ec43ccb1b132eb795d
50,Characters,Characters/050_hamster_mascot_full.png,input_050.png,1086x1448,963x843,True,0,255,98c46861d650890455645788befd592c834f1f38d05f7780807b42fc8c73bf6c
51,Logo_Title,Logo_Title/051_title_strip_blank.png,input_051.png,1448x1086,1302x543,True,0,255,d71d91174988ed43b94614ac6f4ab526b8904719c745f96b4d297c03108c2def
52,Logo_Title,Logo_Title/052_main_logo_title_panel_blank.png,input_052.png,1448x1086,1296x936,True,0,255,fab7ecc41c7e719e375c188369e866163f6f82bf3b7fca7d7cff6cfa30aa4c90
53,Icons,Icons/053_paw_blue_round.png,input_053.png,1254x1254,837x885,True,0,255,bf0b094db9c589f86476343981579779817732f611f9d52e0d4c480dd71e24b3
54,Decorations,Decorations/054_blue_tape_long.png,input_054.png,2172x724,1750x296,True,0,255,20e12fdedffa933d4c861215b32acbb4392f1e1eca98abf1c35e922f9c28a5b4
55,Decorations,Decorations/055_yellow_star_sketch.png,input_055.png,1254x1254,530x559,True,0,255,087c4e9c7caf601a3aafcf86f8027c339cf839d06fea32e99a4e740c2bd2c5f6
