path,category,old_texture_type,new_texture_type,old_max_size,new_max_size,old_compression,new_compression,action,note
Assets/ProjectONE/UI/Sprites/Decorations/118_mint_tape_piece.png,Decorations,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Decorations/119_gold_paperclip.png,Decorations,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Decorations/121_star_small_yellow.png,Decorations,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/001_top_status_bar_blank.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/008_mission_card_blank_stamp.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/010_stamina_bar_full.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/025_ready_status_panel.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/034_mission_sheet_blank.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/035_stamina_bar_full_alt.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/059_progress_panel_status_bar.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/061_level_bar_background.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/062_level_bar_fill_teal.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/063_coin_counter_panel_blank.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/070_mini_status_pill_panel.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/072_mission_card_blank_vertical.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/073_reward_box_blue.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/075_reward_box_cream.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/076_stamina_bar_background.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/077_stamina_bar_fill_teal.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/083_reward_coin_box_blank.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/HUD/085_secret_mission_tag_mint.png,HUD,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/027_coin_gold_paw.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/028_crown_gold.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/029_coin_silver_paw.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/030_coin_bronze_paw.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/053_paw_blue_round.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/071_stopwatch_icon.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/078_lightning_teal.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/079_paw_beige.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/115_paw_blue_icon.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/116_clipboard_icon.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Icons/120_heart_bubble.png,Icons,Default,Sprite,2048,2048,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/037_room_code_tag_blank.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/089_character_select_panel.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
Assets/ProjectONE/UI/Sprites/Lobby_CharacterSelect/099_character_card_default.png,Lobby_CharacterSelect,Default,Sprite,2048,4096,Compressed,Uncompressed,changed,Applied recommended settings and reimported.
